ID,"Lib.groupId","Lib.artifactId","Lib.version","Compile","Debloat","Debloat.Time","Lib.original.test.error","Lib.original.test.failing","Lib.original.test.passing","Lib.debloat.test.error","Lib.debloat.test.failing","Lib.debloat.test.passing","Size.original.jar","Size.debloat.jar","Size.workaround.jar","Nb.class.original","Nb.method.original","Nb.debloated.classes","Nb.preserved.classes","Nb.debloated.methods","Nb.Dependenies","Nb.bloated.dependenies","Nb.dependeny.class","Nb.bloated.dependeny.class","Nb.preserved.dependeny.class","Nb.dependeny.method","Nb.bloated.dependeny.method","Lib.coverage","Lib.dep.coverage","Lib.all.coverage","Client.groupId","Client.artifactId","Client.Compile","Client.Debloat","Client.original.test.error","Client.original.test.failing","Client.original.test.passing","Client.debloat.test.error","Client.debloat.test.failing","Client.debloat.test.passing","Client.coverage","Cover.lib"
alibaba_fastjson_1.2.58,com.alibaba,fastjson,1.2.58,True,True,2520.912,0,0,4663,0,0,4663,640522,632211,639325,234,2107,2,0,41,51,51,41910,41910,0,0,0,0.8842736953580044,0,0.8842736953580044,me.zhyd.oauth,JustAuth,True,True,0,0,29,0,0,29,0.19170192759755525,True
alibaba_fastjson_1.2.58,com.alibaba,fastjson,1.2.58,True,True,2520.912,0,0,4663,0,0,4663,640522,632211,639325,234,2107,2,0,41,51,51,41910,41910,0,0,0,0.8842736953580044,0,0.8842736953580044,com.yanceyzhang.tools,wx-chatbot,True,True,0,0,4,0,0,4,0.7665706051873199,True
alibaba_fastjson_1.2.58,com.alibaba,fastjson,1.2.58,True,True,2520.912,0,0,4663,0,0,4663,640522,632211,639325,234,2107,2,0,41,51,51,41910,41910,0,0,0,0.8842736953580044,0,0.8842736953580044,com.hhu,Netty-UDP,True,True,0,0,1,0,0,1,0.0,False
alibaba_fastjson_1.2.58,com.alibaba,fastjson,1.2.58,True,True,2520.912,0,0,4663,0,0,4663,640522,632211,639325,234,2107,2,0,41,51,51,41910,41910,0,0,0,0.8842736953580044,0,0.8842736953580044,com.zhangyu,coderman,True,True,0,0,1,0,0,1,0.013376742869275957,False
alibaba_fastjson_1.2.60,com.alibaba,fastjson,1.2.60,True,True,2020.508,0,0,4711,0,0,4711,653308,639696,647838,241,2148,6,1,59,53,53,42129,42129,0,0,0,0.8778011146575818,0,0.8778011146575818,com.switchvov,rocketmq-test,True,True,0,0,1,0,0,1,0.0,False
alibaba_fastjson_1.2.60,com.alibaba,fastjson,1.2.60,True,True,2020.508,0,0,4711,0,0,4711,653308,639696,647838,241,2148,6,1,59,53,53,42129,42129,0,0,0,0.8778011146575818,0,0.8778011146575818,io.mykit.holiday,mykit-holiday,True,True,0,0,8,0,0,8,0.8868937048503612,True
alibaba_fastjson_1.2.71,com.alibaba,fastjson,1.2.71,True,True,2796.171,0,0,4888,0,0,4888,652401,646270,651230,260,2244,2,0,48,98,98,54594,54594,0,0,0,0.8761633549167157,0,0.8761633549167157,com.alibaba,easyexcel,True,True,0,0,108,0,0,108,0.7951343876933714,True
alibaba_fastjson_1.2.71,com.alibaba,fastjson,1.2.71,True,True,2796.171,0,0,4888,0,0,4888,652401,646270,651230,260,2244,2,0,48,98,98,54594,54594,0,0,0,0.8761633549167157,0,0.8761633549167157,com.github.bingoohuang,excel2javabeans,True,True,0,0,35,0,0,35,0.7584508006021623,True
alibaba_fastjson_1.2.71,com.alibaba,fastjson,1.2.71,True,True,2796.171,0,0,4888,0,0,4888,652401,646270,651230,260,2244,2,0,48,98,98,54594,54594,0,0,0,0.8761633549167157,0,0.8761633549167157,me.zhyd.oauth,JustAuth,True,True,0,0,45,0,0,45,0.26350725532571784,True
alibaba_fastjson_1.2.70,com.alibaba,fastjson,1.2.70,True,True,2579.929,0,0,4860,0,0,4860,673076,659594,667925,252,2209,6,1,61,98,98,54594,54594,0,0,0,0.8791198185590889,0,0.8791198185590889,com.github.dadiyang,http-api-invoker,True,True,0,0,124,0,0,124,0.784975330256247,True
