Lib,nbDepsUsedClasses,nbDepsBloatedClasses,nbLibUsedClasses,nbLibBloatedClasses,nbLibUsedMethods,nbLibBloatedMethods,nbDepsUsedMethods,nbDepsBloatedMethods
bonigarcia_webdrivermanager_1.7.2,14,4054,24,2,32,22,46,79
bonigarcia_webdrivermanager_2.2.5,1140,2904,24,0,213,15,2507,3537
bonigarcia_webdrivermanager_2.1.0,14,4870,41,155,87,11,46,79
bonigarcia_webdrivermanager_3.3.0,0,0,0,0,0,0,0,0
apache_commons-net_3.0.1,0,0,138,62,406,342,0,0
apache_commons-net_3.1,0,0,139,62,411,348,0,0
apache_commons-net_3.3,0,0,143,62,445,391,0,0
apache_commons-net_3.6,0,0,179,39,0,0,0,0
apache_commons-net_3.5,0,0,175,39,0,0,0,0
apache_commons-net_3.2,0,0,141,62,0,0,0,0
apache_commons-net_3.4,0,0,173,41,0,0,0,0
apache_commons-net_2.0,0,0,175,39,0,0,0,0
FasterXML_jackson-module-jaxb-annotations_2.1.2,0,1512,10,3,0,0,0,0
FasterXML_jackson-module-jaxb-annotations_2.6.0,0,1604,11,1,0,0,0,0
FasterXML_jackson-module-jaxb-annotations_2.5.2,0,1594,11,1,0,0,0,0
FasterXML_jackson-module-jaxb-annotations_2.4.2,0,1554,9,3,0,0,0,0
FasterXML_jackson-module-jaxb-annotations_2.6.3,0,1606,11,1,0,0,0,0
FasterXML_jackson-module-jaxb-annotations_2.8.8,0,1654,11,1,0,0,0,0
FasterXML_jackson-module-jaxb-annotations_2.7.4,0,1616,11,1,0,0,0,0
FasterXML_jackson-module-jaxb-annotations_2.8.7,0,1654,11,1,0,0,0,0
FasterXML_jackson-module-jaxb-annotations_2.8.1,0,1650,11,1,0,0,0,0
FasterXML_jackson-module-jaxb-annotations_2.2.2,0,1552,9,3,0,0,0,0
FasterXML_jackson-module-jaxb-annotations_2.2.3,0,1552,9,3,0,0,0,0
FasterXML_jackson-module-jaxb-annotations_2.7.5,0,1616,11,1,0,0,0,0
FasterXML_jackson-module-jaxb-annotations_2.8.4,0,1650,11,1,0,0,0,0
FasterXML_jackson-module-jaxb-annotations_2.1.0,0,1550,9,3,0,0,0,0
FasterXML_jackson-module-jaxb-annotations_2.5.4,0,1594,11,1,0,0,0,0
FasterXML_jackson-module-jaxb-annotations_2.1.5,0,1514,10,3,0,0,0,0
FasterXML_jackson-module-jaxb-annotations_2.6.2,0,1604,11,1,0,0,0,0
j256_ormlite-jdbc_5.0,0,318,37,3,0,0,0,0
j256_ormlite-jdbc_5.1,20,701,37,4,149,61,121,96
j256_ormlite-jdbc_4.48,0,922,41,5,0,0,0,0
j256_ormlite-jdbc_4.40,0,326,37,3,0,0,0,0
perf4j_perf4j_0.9.12,20,3612,96,67,322,65,119,199
perf4j_perf4j_0.9.16,22,3979,113,178,314,78,135,206
apache_commons-exec_1.0.1,0,0,28,5,129,28,0,0
apache_commons-exec_1.0,0,0,26,6,121,28,0,0
apache_commons-exec_1.1,0,0,30,6,150,28,0,0
apache_commons-exec_1.3,0,0,29,8,155,27,0,0
apache_commons-exec_1.2,0,0,30,6,157,28,0,0
zeromq_jeromq_0.3.5,0,0,159,12,0,0,0,0
zeromq_jeromq_0.4.1,120,1804,233,32,1297,568,184,351
zeromq_jeromq_0.3.6,0,0,168,12,1025,486,0,0
zeromq_jeromq_0.3.4,0,0,120,5,718,372,0,0
zeromq_jeromq_0.4.3,16,2,289,23,1840,371,50,5
zeromq_jeromq_0.5.1,0,0,0,0,0,0,0,0
zeromq_jeromq_0.3.2,0,0,138,13,785,364,0,0
xerial_sqlite-jdbc_3.6.20,0,117,27,1,230,523,0,0
xerial_sqlite-jdbc_3.20.1,0,0,79,15,480,733,0,0
xerial_sqlite-jdbc_3.8.10.1,0,0,51,4,352,667,0,0
xerial_sqlite-jdbc_3.16.1,0,0,79,16,469,744,0,0
xerial_sqlite-jdbc_3.15.1,0,0,79,16,466,742,0,0
xerial_sqlite-jdbc_3.21.0,0,0,81,16,494,741,0,0
xerial_sqlite-jdbc_3.28.0,0,0,84,16,544,748,0,0
xerial_sqlite-jdbc_3.20.0,0,0,79,16,469,744,0,0
xerial_sqlite-jdbc_3.8.9.1,0,0,51,4,352,667,0,0
xerial_sqlite-jdbc_3.27.2.1,0,0,84,16,544,748,0,0
xerial_sqlite-jdbc_3.8.11,0,0,75,17,423,748,0,0
xerial_sqlite-jdbc_3.19.3,0,0,79,16,469,744,0,0
xerial_sqlite-jdbc_3.8.10.2,0,0,75,17,421,748,0,0
xerial_sqlite-jdbc_3.30.1,0,0,84,16,546,749,0,0
xerial_sqlite-jdbc_3.14.2,0,0,78,16,446,747,0,0
xerial_sqlite-jdbc_3.8.7,0,0,49,4,339,672,0,0
xerial_sqlite-jdbc_3.14.2.1,0,0,78,16,448,749,0,0
xerial_sqlite-jdbc_3.18.0,0,0,79,16,469,744,0,0
xerial_sqlite-jdbc_3.8.11.1,0,0,75,17,423,748,0,0
xerial_sqlite-jdbc_3.8.6,0,0,49,4,338,671,0,0
xerial_sqlite-jdbc_3.8.11.2,0,0,75,17,423,748,0,0
xerial_sqlite-jdbc_3.21.0.1,0,0,82,16,501,743,0,0
jfree_jfreechart_1.0.19,116,344,558,77,5234,2467,364,238
jkuhnert_ognl_3.2.10,4,842,125,7,760,259,55,52
jkuhnert_ognl_3.2.6,20,778,125,7,823,273,118,231
jkuhnert_ognl_3.2.12,4,842,131,7,125,53,55,52
jkuhnert_ognl_3.1.12,20,778,126,7,833,270,118,231
jkuhnert_ognl_3.1.2,20,674,124,6,811,275,117,211
jkuhnert_ognl_3.1.4,20,778,126,7,825,272,118,231
jkuhnert_ognl_3.1.23,20,778,126,7,841,272,118,231
omalley_base64_2.3.9,0,0,4,0,21,24,0,0
omalley_base64_2.3.8,0,0,4,0,21,24,0,0
JodaOrg_joda-time-hibernate_1.3,78,4165,23,15,0,0,695,1440
FasterXML_jackson-datatype-jsr310_2.7.6,0,1442,52,1,0,0,0,0
FasterXML_jackson-datatype-jsr310_2.4.2,0,1378,29,0,0,0,0,0
FasterXML_jackson-datatype-jsr310_2.7.1,0,1436,52,1,0,0,0,0
FasterXML_jackson-datatype-jsr310_2.4.0,0,1378,29,0,0,0,0,0
FasterXML_jackson-datatype-jsr310_2.6.4,0,1430,50,1,0,0,0,0
FasterXML_jackson-datatype-jsr310_2.5.1,0,1414,33,0,0,0,0,0
FasterXML_jackson-datatype-jsr310_2.7.4,0,1440,52,1,0,0,0,0
FasterXML_jackson-datatype-jsr310_2.6.1,0,1428,52,1,0,0,0,0
FasterXML_jackson-datatype-jsr310_2.4.5,0,1376,32,0,0,0,0,0
FasterXML_jackson-datatype-jsr310_2.4.4,0,1378,32,0,0,0,0,0
FasterXML_jackson-datatype-jsr310_2.7.5,0,1440,52,1,0,0,0,0
josephw_jBCrypt_0.3m,0,0,1,0,16,0,0,0
jhy_jsoup_1.7.3,0,0,219,7,1068,232,0,0
jhy_jsoup_1.6.1,0,0,194,4,917,217,0,0
jhy_jsoup_1.6.2,0,0,199,7,952,224,0,0
jhy_jsoup_1.11.1,0,0,237,10,0,0,0,0
jhy_jsoup_1.10.2,0,0,225,13,0,0,0,0
jhy_jsoup_1.5.2,0,0,83,3,572,154,0,0
jhy_jsoup_1.12.1,0,0,243,8,0,0,0,0
jhy_jsoup_1.6.0,0,0,191,4,898,223,0,0
jhy_jsoup_1.12.2,0,0,244,7,0,0,0,0
jhy_jsoup_1.10.1,0,0,224,13,0,0,0,0
jhy_jsoup_1.7.2,0,0,217,7,1030,233,0,0
jhy_jsoup_1.11.3,0,0,242,11,0,0,0,0
jhy_jsoup_1.6.3,0,0,199,7,967,217,0,0
jhy_jsoup_1.11.2,0,0,240,11,0,0,0,0
jhy_jsoup_1.9.1,0,0,222,13,0,0,0,0
jhy_jsoup_1.7.1,0,0,201,7,975,216,0,0
jhy_jsoup_1.9.2,0,0,222,13,0,0,0,0
jhy_jsoup_1.10.3,0,0,228,13,0,0,0,0
jhy_jsoup_1.4.1,0,0,71,4,563,102,0,0
jhy_jsoup_1.8.1,0,0,220,7,0,0,0,0
jhy_jsoup_1.8.3,0,0,221,13,0,0,0,0
jhy_jsoup_1.13.1,0,0,242,7,0,0,0,0
jhy_jsoup_1.8.2,0,0,220,13,0,0,0,0
google_gson_2.3.1,0,0,162,3,789,123,0,0
google_gson_2.2.4,0,0,150,3,730,102,0,0
google_gson_1.6,0,0,129,5,639,113,0,0
google_gson_2.1,0,0,149,6,724,95,0,0
google_gson_2.4,0,0,0,0,0,0,0,0
google_gson_2.5,0,0,0,0,0,0,0,0
google_gson_2.2.1,0,0,149,6,724,95,0,0
google_gson_2.2,0,0,149,6,724,95,0,0
google_gson_1.7.2,0,0,133,3,698,89,0,0
google_gson_1.4,0,0,125,5,671,145,0,0
google_gson_2.2.2,0,0,149,6,724,95,0,0
google_gson_2.2.3,0,0,152,3,736,106,0,0
google_gson_1.3,0,0,120,4,636,139,0,0
google_gson_1.7.1,0,0,133,3,698,89,0,0
google_gson_2.3,0,0,162,3,787,122,0,0
google_gson_2.0,0,0,168,4,754,95,0,0
google_gson_1.5,0,0,133,5,704,148,0,0
EsotericSoftware_yamlbeans_1.09,0,0,117,1,327,100,0,0
